ID arbol,Altura M,Altura Media M,Area de Copa m2,Volumen de copa m3,Biomasa (AGB) kg
1,15.6862755,10.625805,40.04199539,425.47842,21.273922
2,15.6862755,12.428703,2.379756832,29.577291,1.4788646
3,15.6862755,9.322438,13.45079948,125.39425,6.2697124
4,15.6862755,15.6862755,0.62080613,9.738136,0.48690683
5,15.6862755,15.686276,0.62080613,9.738136,0.48690683
6,15.6862755,11.284042,3.10403065,35.026012,1.7513007
7,15.6862755,15.682303,1.552015325,24.339176,1.2169589
8,15.6862755,11.94504,4.34564291,51.908875,2.5954437
9,15.6862755,9.74329,36.21369092,352.8405,17.642027
10,15.6862755,9.7613945,47.80207201,466.61487,23.330744
11,15.6862755,8.906355,13.76120255,122.56215,6.1281075
12,15.6862755,9.823968,30.00562962,294.77435,14.738718
13,15.6862755,8.961254,79.67012002,713.9442,35.697212
14,15.6862755,10.794195,45.83618594,494.76474,24.738237
15,15.6862755,10.3491955,50.28529654,520.41235,26.020618
16,15.6862755,11.809582,21.62474686,255.37923,12.768962
17,15.6862755,10.660269,10.34676883,110.29933,5.5149665
18,15.6862755,15.6862755,0.827741507,12.984181,0.6492091
19,15.6862755,12.913036,2.690159897,34.738132,1.7369066
20,15.6862755,15.679153,1.448547637,22.712,1.1356
21,15.6862755,14.704372,3.310966027,48.685677,2.434284
22,15.6862755,14.90922,2.069353767,30.85245,1.5426224
23,15.6862755,12.051415,19.76232847,238.16403,11.908202
24,15.6862755,9.960715,66.63319129,663.71423,33.18571
25,15.6862755,6.5775847,125.816709,827.57,41.3785
26,15.6862755,11.112692,16.76176551,186.26834,9.313417
27,15.6862755,10.984438,26.5911959,292.08932,14.604466
28,15.6862755,10.972617,25.97038977,284.96313,14.248157
29,15.6862755,12.470495,3.828304469,47.740852,2.3870428
30,15.6862755,11.981727,18.52071621,221.91016,11.095508
31,15.6862755,12.126617,31.76458032,385.19693,19.259848
32,15.6862755,10.898294,22.55595606,245.82144,12.291072
33,15.6862755,10.470656,51.63037648,540.60394,27.030197
34,15.6862755,11.830289,34.24780484,405.16144,20.258072
35,15.6862755,11.010133,51.94077955,571.8749,28.593744
36,15.6862755,9.620917,54.42400407,523.6088,26.18044
37,15.6862755,11.448257,51.83731186,593.4469,29.672346
38,15.6862755,10.667618,58.5627116,624.7246,31.23623
39,15.6862755,9.648037,74.70367098,720.7438,36.03719
40,15.6862755,9.968002,44.18070292,440.39334,22.019667
41,15.6862755,13.369714,4.552578287,60.86667,3.0433335
42,15.6862755,12.3550825,20.79700536,256.94873,12.847437
43,15.6862755,10.323265,47.9055397,494.5416,24.72708
44,15.6862755,10.252366,58.35577623,598.2848,29.91424
45,15.6862755,10.64323,60.42512999,643.1186,32.15593
46,15.6862755,7.638205,86.39551977,659.90674,32.99534
47,15.6862755,9.136293,31.24724188,285.48398,14.2741995
48,15.6862755,9.508458,85.2573752,810.6662,40.53331
49,15.6862755,9.73167,57.21763165,556.8231,27.841156
50,15.6862755,11.363741,38.28304469,435.03857,21.751928
51,15.6862755,6.5161695,116.194214,757.1412,37.85706
52,15.6862755,11.649079,29.2813558,341.10083,17.055042
53,15.6862755,7.9724336,78.94584621,629.3905,31.469526
54,15.6862755,9.558395,65.80544979,628.9945,31.449726
55,15.6862755,10.270094,59.59738849,612.0708,30.60354
56,15.6862755,7.2857394,105.3301067,767.4077,38.370388
57,15.6862755,10.171857,42.11134916,428.35062,21.417532
58,15.6862755,9.669044,83.80882756,810.3512,40.51756
59,15.6862755,9.493535,76.77302475,728.8474,36.44237
60,15.6862755,10.646101,62.70141914,667.52563,33.37628
61,15.6862755,7.7378654,87.0163259,673.3206,33.66603
62,15.6862755,10.979883,58.04537316,637.3314,31.866571
63,15.6862755,10.123411,57.63150241,583.4274,29.171371
64,15.6862755,5.814245,130.8866258,761.00696,38.05035
65,15.6862755,7.569325,69.94415732,529.43005,26.471502
66,15.6862755,9.011085,45.73271825,412.10138,20.60507
67,15.6862755,9.45326,69.63375426,658.266,32.9133
68,15.6862755,10.079933,59.08005004,595.523,29.776152
69,15.6862755,9.403275,66.52972361,625.5973,31.279865
70,15.6862755,7.812963,66.32278823,518.1775,25.908875
71,15.6862755,7.9512424,93.2243872,741.2497,37.062485
72,15.6862755,10.259797,50.69916729,520.1632,26.008162
73,15.6862755,8.2271385,86.0851167,708.2342,35.41171
74,15.6862755,9.689067,50.5956996,490.2251,24.511255
75,15.6862755,9.993346,75.73834787,756.8795,37.843975
76,15.6862755,9.584159,72.94472028,699.1138,34.95569
77,15.6862755,10.241647,53.07892412,543.6156,27.18078
78,15.6862755,10.759074,39.11078619,420.79587,21.039793
79,15.6862755,7.3989763,83.60189218,618.5684,30.928421
80,15.6862755,9.251614,56.70029321,524.5692,26.22846
81,15.6862755,10.030328,49.04368428,491.92422,24.596212
82,15.6862755,10.494444,56.38989015,591.7805,29.589025
83,15.6862755,8.387289,76.56608937,642.1819,32.109097
84,15.6862755,10.604212,54.113601,573.8321,28.691605
85,15.6862755,10.625632,54.21706869,576.09064,28.804533
86,15.6862755,9.097241,36.00675554,327.56216,16.378109
87,15.6862755,9.062051,92.50011338,838.2407,41.912037
88,15.6862755,10.993557,55.0448102,605.13824,30.256912
89,15.6862755,8.678921,61.45980688,533.4048,26.67024
90,15.6862755,9.426935,45.73271825,431.1194,21.55597
91,15.6862755,10.028576,61.35633919,615.3167,30.765837
92,15.6862755,9.763573,57.42456703,560.66895,28.033447
93,15.6862755,9.892467,41.90441378,414.53802,20.726902
94,15.6862755,11.063769,43.76683217,484.22617,24.21131
95,15.6862755,9.821371,46.66392744,458.30377,22.91519
96,15.6862755,10.783721,28.66054967,309.06738,15.453369
97,15.6862755,7.0938745,75.94528324,538.7463,26.937315
98,15.6862755,8.7411375,68.08173893,595.1118,29.75559
99,15.6862755,10.56114,32.59232183,344.21207,17.210604
100,15.6862755,9.002643,87.94753509,791.7602,39.58801
101,15.6862755,11.175102,31.24724188,349.19113,17.459557
102,15.6862755,9.480201,63.52916064,602.26917,30.113459
103,15.6862755,7.195753,84.11923062,605.3012,30.26506
104,15.6862755,10.432037,35.90328786,374.54443,18.727222
105,15.6862755,10.098272,65.39157903,660.342,33.0171
106,15.6862755,11.577095,43.35296142,501.90134,25.095068
107,15.6862755,9.920521,64.46036984,639.4804,31.97402
108,15.6862755,9.982781,65.49504672,653.82275,32.69114
109,15.6862755,11.5106945,34.97207866,402.55292,20.127645
110,15.6862755,9.423084,36.73102936,346.11957,17.305979
111,15.6862755,9.786487,60.83900075,595.4001,29.770004
112,15.6862755,10.296471,54.113601,557.1791,27.858953
113,15.6862755,9.301333,48.11247508,447.5102,22.37551
114,15.6862755,10.535949,55.97601939,589.76044,29.488022
115,15.6862755,10.632239,27.41893741,291.52472,14.576236
116,15.6862755,10.331202,30.83337113,318.54578,15.927289
117,15.6862755,9.967738,58.97658236,587.86316,29.393158
118,15.6862755,9.650716,72.32391415,697.97754,34.898876
119,15.6862755,9.235949,55.45868095,512.2135,25.610676
120,15.6862755,11.092416,45.11191212,500.40012,25.020006
121,15.6862755,9.908178,51.83731186,513.61334,25.680668
122,15.6862755,11.3105345,33.21312796,375.65823,18.782911
123,15.6862755,9.4134035,51.83731186,487.96555,24.398277
124,15.6862755,9.951904,69.94415732,696.0776,34.80388
125,15.6862755,9.875286,49.66449041,490.45105,24.522552
126,15.6862755,8.164286,83.70535987,683.3944,34.16972
127,15.6862755,10.125222,62.18408069,629.6276,31.481382
128,15.6862755,9.2233095,39.9385277,368.36542,18.418272
129,15.6862755,11.033151,52.66505337,581.06146,29.053074
130,15.6862755,7.6960373,73.87592948,568.55194,28.427597
131,15.6862755,7.9708085,94.25906408,751.321,37.56605
132,15.6862755,10.239046,40.76626921,417.4077,20.870386
133,15.6862755,10.364317,38.179577,395.70526,19.785263
134,15.6862755,10.532182,17.89991008,188.52512,9.426256
135,15.6862755,10.103785,54.94134251,555.1155,27.755774
136,15.6862755,9.835084,40.14546308,394.834,19.741701
137,15.6862755,8.05575,96.7422886,779.33167,38.966583
138,15.6862755,10.925439,40.14546308,438.6068,21.930342
139,15.6862755,8.241605,83.39495681,687.3083,34.365414
140,15.6862755,8.8944845,49.76795809,442.66034,22.133017
141,15.6862755,8.977052,63.63262833,571.2334,28.56167
142,15.6862755,10.85563,51.21650573,555.9874,27.799372
143,15.6862755,11.516671,25.24611596,290.75122,14.537561
144,15.6862755,10.002727,33.62699871,336.3617,16.818085
145,15.6862755,10.895393,21.10740842,229.97351,11.498675
146,15.6862755,10.3285055,70.35802807,726.6933,36.334667
147,15.6862755,10.146867,61.56327456,624.6743,31.233717
148,15.6862755,6.9875593,86.0851167,601.52484,30.076242
149,15.6862755,10.746062,34.14433715,366.91718,18.34586
150,15.6862755,10.242718,50.49223191,517.1777,25.858885
151,15.6862755,6.693897,66.73665898,446.7283,22.336416
152,15.6862755,9.9015665,58.5627116,579.8626,28.993132
153,15.6862755,9.579749,62.59795145,599.67267,29.983633
154,15.6862755,10.26092,67.04706205,687.96454,34.398228
155,15.6862755,8.062746,57.21763165,461.33124,23.066563
156,15.6862755,9.354743,56.70029321,530.4167,26.520834
157,15.6862755,9.612907,71.08230189,683.30756,34.16538
158,15.6862755,10.192809,50.18182885,511.49377,25.57469
159,15.6862755,11.617076,49.14715196,570.94617,28.547308
160,15.6862755,10.424684,44.90497674,468.12015,23.406008
161,15.6862755,8.7909975,70.35802807,618.5173,30.925863
162,15.6862755,10.764122,50.07836116,539.04956,26.952478
163,15.6862755,10.431298,41.07667227,428.48303,21.424152
164,15.6862755,10.485303,38.38651238,402.4942,20.12471
165,15.6862755,12.188314,26.48772822,322.84076,16.142038
166,15.6862755,9.191112,54.83787482,504.02103,25.201052
167,15.6862755,11.915141,23.69410063,282.31857,14.115929
168,15.6862755,8.631166,75.4279448,651.0311,32.551556
169,15.6862755,9.252227,44.59457368,412.59912,20.629957
170,15.6862755,10.335656,21.21087611,219.22833,10.961417
171,15.6862755,7.8877764,66.21932054,522.3232,26.11616
172,15.6862755,9.474382,65.80544979,623.466,31.1733
173,15.6862755,9.371337,57.42456703,538.14496,26.907248
174,15.6862755,10.21184,29.07442042,296.90332,14.845166
175,15.6862755,10.325803,50.80263498,524.578,26.2289
176,15.6862755,10.116245,38.48998006,389.37408,19.468704
177,15.6862755,9.737434,52.97545643,515.84503,25.792252
178,15.6862755,10.780109,46.146589,497.46527,24.873264
179,15.6862755,11.052376,47.80207201,528.3265,26.416325
180,15.6862755,11.141586,32.90272489,366.58853,18.329428
181,15.6862755,9.047895,40.45586614,366.04047,18.302023
182,15.6862755,8.118711,51.31997342,416.65207,20.832603
183,15.6862755,11.921534,26.48772822,315.77435,15.788718
184,15.6862755,11.669691,18.72765159,218.54591,10.927296
185,15.6862755,9.581712,38.59344775,369.7913,18.489565
186,15.6862755,10.9196005,39.00731851,425.94434,21.297216
187,15.6862755,10.516508,35.17901404,369.9604,18.49802
188,15.6862755,11.053582,38.80038313,428.8832,21.44416
189,15.6862755,11.482643,33.31659565,382.5626,19.12813
190,15.6862755,10.172753,56.28642246,572.5879,28.629395
191,15.6862755,11.112378,42.73215529,474.85587,23.742794
192,15.6862755,9.537266,54.21706869,517.0826,25.85413
193,15.6862755,9.527696,40.04199539,381.50793,19.075397
194,15.6862755,9.043676,51.5269088,465.9927,23.299635
195,15.6862755,9.438218,55.56214864,524.4077,26.220387
196,15.6862755,10.904033,42.42175222,462.56818,23.128408
197,15.6862755,9.472404,73.56552641,696.84235,34.842117
198,15.6862755,12.165146,32.17845108,391.45554,19.572777
199,15.6862755,10.606096,55.35521326,587.1027,29.355137
200,15.6862755,9.592005,36.00675554,345.37695,17.268848
201,15.6862755,9.699034,48.11247508,466.64453,23.332228
202,15.6862755,9.553409,62.59795145,598.0238,29.90119
203,15.6862755,10.946633,32.79925721,359.04144,17.952072
204,15.6862755,10.512433,29.2813558,307.8183,15.390915
205,15.6862755,7.527828,79.35971696,597.4063,29.870316
206,15.6862755,10.982205,41.49054303,455.65765,22.782883
207,15.6862755,11.810134,12.10571954,142.97017,7.1485085
208,15.6862755,11.2857,43.14602604,486.93307,24.346655
209,15.6862755,9.338611,65.7019821,613.5652,30.678259
210,15.6862755,9.560314,47.28473357,452.0569,22.602844
211,15.6862755,9.206746,49.14715196,452.48538,22.62427
212,15.6862755,9.443421,44.80150905,423.07953,21.153976
213,15.6862755,7.953123,83.70535987,665.71906,33.285954
214,15.6862755,10.825827,33.10966027,358.43945,17.921972
215,15.6862755,10.023106,48.11247508,482.23642,24.111822
216,15.6862755,9.865926,58.04537316,572.6713,28.633566
217,15.6862755,9.19597,36.31715861,333.97147,16.698574
218,15.6862755,9.612844,50.5956996,486.36862,24.318432
219,15.6862755,8.673019,53.2858595,462.1493,23.107466
220,15.6862755,8.531324,79.56665234,678.8089,33.940445
221,15.6862755,9.987481,22.76289144,227.34395,11.367198
222,15.6862755,9.567044,37.14490012,355.3669,17.768347
223,15.6862755,8.956231,47.49166895,425.34637,21.267319
224,15.6862755,10.972271,33.21312796,364.42343,18.221172
225,15.6862755,9.456568,47.69860433,451.06506,22.553253
226,15.6862755,10.309925,32.59232183,336.0244,16.801222
227,15.6862755,10.797261,40.45586614,436.81253,21.840628
228,15.6862755,9.096007,57.11416397,519.51086,25.975544
229,15.6862755,8.856894,44.59457368,394.9694,19.74847
230,15.6862755,9.483318,42.42175222,402.29898,20.11495
231,15.6862755,6.8713465,89.39608273,614.2714,30.713572
232,15.6862755,10.975923,28.97095274,317.98294,15.899147
233,15.6862755,9.68751,34.45474022,333.7806,16.689032
234,15.6862755,7.2413797,83.91229525,607.64075,30.382038
235,15.6862755,9.385694,43.87029986,411.7532,20.58766
236,15.6862755,9.9330435,74.18633254,736.89606,36.844803
237,15.6862755,10.415663,43.87029986,456.93826,22.846914
238,15.6862755,10.819547,25.45305133,275.39047,13.769524
239,15.6862755,10.359731,36.93796474,382.66736,19.133368
240,15.6862755,10.704095,11.17451034,119.613014,5.980651
241,15.6862755,9.55728,29.2813558,279.8501,13.992505
242,15.6862755,7.081298,86.39551977,611.7924,30.58962
243,15.6862755,7.907375,50.80263498,401.71548,20.085775
244,15.6862755,10.2733345,38.28304469,393.29453,19.664726
245,15.6862755,10.396797,59.08005004,614.2433,30.712164
246,15.6862755,10.232116,51.31997342,525.1119,26.255594
247,15.6862755,9.830128,47.28473357,464.81494,23.240747
248,15.6862755,10.261751,47.18126588,484.16238,24.20812
249,15.6862755,10.182328,42.52521991,433.00577,21.65029
250,15.6862755,9.736479,52.14771493,507.73514,25.386757
251,15.6862755,9.453885,52.97545643,500.82388,25.041195
252,15.6862755,10.429481,38.38651238,400.35138,20.017569
253,15.6862755,10.348874,31.24724188,323.37375,16.168688
254,15.6862755,9.667161,49.56102272,479.1144,23.95572
255,15.6862755,10.134463,40.14546308,406.85272,20.342636
256,15.6862755,10.94194,45.21537981,494.744,24.7372
257,15.6862755,10.069156,40.14546308,404.2309,20.211546
258,15.6862755,11.111918,5.794190547,64.384575,3.2192287
259,15.6862755,9.257371,62.08061301,574.70325,28.735163
260,15.6862755,10.148437,41.49054303,421.06412,21.053205
261,15.6862755,9.568516,87.74059972,839.5473,41.977367
262,15.6862755,10.553456,55.14827789,582.00494,29.100248
263,15.6862755,10.4414835,34.76514328,362.99966,18.149984
264,15.6862755,9.612397,35.07554635,337.16006,16.858004
265,15.6862755,8.852746,73.97939717,654.92084,32.746044
266,15.6862755,9.758357,75.01407405,732.0141,36.600704
267,15.6862755,9.38088,38.38651238,360.09927,18.004965
268,15.6862755,9.741289,40.45586614,394.09232,19.704617
269,15.6862755,9.131595,73.97939717,675.5498,33.777493
270,15.6862755,9.1919155,49.04368428,450.8054,22.54027
271,15.6862755,11.553687,25.34958364,292.88116,14.644058
272,15.6862755,9.374612,64.87424059,608.17084,30.408543
273,15.6862755,9.843093,29.38482349,289.23755,14.461878
274,15.6862755,10.561009,32.79925721,346.39328,17.319664
275,15.6862755,10.916416,46.87086282,511.66187,25.583094
276,15.6862755,9.544076,30.83337113,294.27606,14.713803
277,15.6862755,10.624119,27.00506666,286.90503,14.345252
278,15.6862755,7.410845,88.36140585,654.83264,32.741634
279,15.6862755,10.324927,25.7634544,266.0058,13.30029
280,15.6862755,9.593865,41.18013996,395.07672,19.753836
281,15.6862755,11.910177,33.52353102,399.2712,19.96356
282,15.6862755,8.030088,56.90722859,456.9701,22.848505
283,15.6862755,8.607664,60.01125924,516.55676,25.827839
284,15.6862755,10.923541,49.56102272,541.38184,27.069092
285,15.6862755,11.594349,30.72990344,356.2932,17.814661
286,15.6862755,10.433963,39.00731851,407.00092,20.350046
287,15.6862755,10.180606,34.55820791,351.8235,17.591175
288,15.6862755,9.952545,51.21650573,509.7346,25.48673
289,15.6862755,9.900048,40.04199539,396.41766,19.820883
290,15.6862755,9.390073,44.80150905,420.68942,21.034472
291,15.6862755,11.720472,17.17563627,201.30656,10.065329
292,15.6862755,10.529788,31.24724188,329.02686,16.451344
293,15.6862755,10.663135,47.80207201,509.7199,25.485996
294,15.6862755,11.275884,14.58894406,164.50323,8.225162
295,15.6862755,9.928631,35.17901404,349.27945,17.463972
296,15.6862755,8.045932,54.52747176,438.7243,21.936216
297,15.6862755,8.941662,38.179577,341.38885,17.069443
298,15.6862755,9.165155,30.72990344,281.64435,14.082217
299,15.6862755,10.884065,18.41724853,200.45453,10.022727
300,15.6862755,11.161612,42.6286876,475.80484,23.790243
301,15.6862755,6.674017,108.0202666,720.9291,36.046455
302,15.6862755,9.7159605,44.59457368,433.2791,21.663956
303,15.6862755,8.571971,65.08117597,557.8739,27.893696
304,15.6862755,8.275469,59.18351773,489.77136,24.48857
305,15.6862755,10.707994,37.97264162,406.61084,20.330542
306,15.6862755,8.630513,85.2573752,735.8149,36.790745
307,15.6862755,10.314299,30.10909731,310.55423,15.527712
308,15.6862755,7.247369,56.38989015,408.6783,20.433916
309,15.6862755,9.047976,25.97038977,234.97945,11.748973
310,15.6862755,9.481626,25.97038977,246.2415,12.312076
311,15.6862755,7.3542295,39.83506001,292.95618,14.647809
312,15.6862755,9.296967,41.90441378,389.58392,19.479197
313,15.6862755,8.8726425,63.21875758,560.9174,28.045872
314,15.6862755,11.846967,12.31265491,145.86761,7.2933807
315,15.6862755,8.691248,70.87536652,615.99536,30.799768
316,15.6862755,10.467062,25.45305133,266.41867,13.320933
317,15.6862755,8.719039,29.69522655,258.91385,12.945693
318,15.686274,10.970745,44.90497674,492.64102,24.632051
319,15.6862755,9.475138,66.21932054,627.43713,31.371857
320,15.6862755,6.7441864,52.97545643,357.27634,17.863817
321,15.6862755,9.966201,48.31941046,481.56094,24.078047
322,15.6862755,10.0079,39.62812464,396.59433,19.829718
323,15.6862755,10.382915,37.04143243,384.59802,19.229902
324,15.6862755,10.45589,51.63037648,539.8415,26.992075
325,15.6862755,9.1928005,54.42400407,500.30902,25.015451
326,15.6862755,6.892235,79.77358771,549.8183,27.490915
327,15.6862755,9.158736,20.17619923,184.7885,9.239425
328,15.6862755,10.910639,27.21200203,296.90033,14.8450165
329,15.6862755,9.618203,48.94021659,470.71695,23.535849
330,15.6862755,8.072848,53.90666563,435.18036,21.759018
331,15.6862755,7.0580516,68.18520662,481.2547,24.062735
332,15.6862755,10.090571,45.00844443,454.16092,22.708046
333,15.6862755,10.185265,48.62981352,495.3075,24.765375
334,15.6862755,9.016514,69.32335119,625.055,31.25275
335,15.6862755,10.652196,37.35183549,397.8791,19.893955
336,15.6862755,9.923651,46.76739513,464.1033,23.205166
337,15.6862755,10.0659,36.52409399,367.6479,18.382395
338,15.6862755,10.625908,32.17845108,341.92523,17.096262
339,15.6862755,10.484673,22.03861762,231.0677,11.553386
340,15.6862755,9.499374,41.28360765,392.16846,19.608423
341,15.6862755,9.202621,51.5269088,474.18262,23.709131
342,15.6862755,7.6648884,37.35183549,286.29764,14.314882
343,15.6862755,7.8224673,76.66955706,599.7451,29.987257
344,15.6862755,9.458422,37.2483678,352.31076,17.615538
345,15.6862755,8.939878,81.53253842,728.8909,36.444546
346,15.6862755,8.457635,64.46036984,545.18225,27.259113
347,15.6862755,7.7392645,46.04312131,356.33987,17.816994
348,15.6862755,9.418836,56.07948708,528.2034,26.410172
349,15.6862755,8.155465,42.52521991,346.81296,17.340649
350,15.6862755,8.784286,47.69860433,418.99817,20.94991
351,15.6862755,9.112649,58.66617929,534.6043,26.730215
352,15.6862755,7.13441,70.1510927,500.48663,25.024332
353,15.6862755,8.725932,44.59457368,389.1292,19.45646
354,15.6862755,9.04826,63.32222527,572.95593,28.647797
355,15.6862755,9.275078,50.07836116,464.4807,23.224035
356,15.6862755,8.905677,44.49110599,396.22342,19.81117
357,15.6862755,8.620459,56.07948708,483.4309,24.171545
358,15.6862755,7.983754,60.52859768,483.24542,24.162271
359,15.6862755,10.021739,31.14377419,312.11478,15.605739
360,15.6862755,8.535759,59.90779155,511.3585,25.567924
361,15.6862755,8.514726,32.79925721,279.27667,13.963834
362,15.6862755,10.268713,27.41893741,281.5572,14.07786
363,15.6862755,11.149881,28.66054967,319.56174,15.978087
364,15.6862755,9.834624,49.45755503,486.39645,24.319822
365,15.6862755,9.811003,43.66336448,428.38138,21.41907
366,15.6862755,8.575764,63.42569295,543.9237,27.196186
367,15.6862755,9.897111,35.38594941,350.21866,17.510933
368,15.6862755,8.093673,39.83506001,322.41193,16.120596
369,15.6862755,8.552286,62.49448376,534.4707,26.723536
370,15.6862755,9.530179,27.21200203,259.33524,12.966762
371,15.6862755,10.467527,34.24780484,358.48984,17.924492
372,15.6862755,9.480874,52.97545643,502.25363,25.112682
373,15.6862755,7.8961225,75.63488018,597.2223,29.861115
374,15.6862755,10.381455,32.59232183,338.35574,16.917788
375,15.6862755,7.9263396,36.11022323,286.2219,14.311095
376,15.6862755,10.847218,29.17788811,316.4989,15.824945
377,15.6862755,8.436867,25.24611596,212.99811,10.649905
378,15.6862755,10.776507,19.86579616,214.0839,10.704195
379,15.6862755,10.167369,42.93909066,436.57758,21.828878
380,15.6862755,10.117755,35.28248173,356.9795,17.848974
381,15.6862755,10.943958,21.93514993,240.05736,12.002868
